,phrase,label,sentiment,subjectivity,language,count,gnd,geonames,geotype,latitude,longitude,continent,country,ipcc
Toronto,Toronto,GPE,0.08866162,0.40979582,en,16.50000000,,-1,,,,,,
Chicago,Chicago,GPE,0.18139269,1.11090183,en,14.60000000,,-1,,,,,,
U.S.,U.S.,GPE,0.04254370,0.82042376,en,12.60000000,,-1,,,,,,
California,California,GPE,-0.00064899,0.97125070,en,10.10000000,,-1,,,,,,
Ontario,Ontario,GPE,0.17616643,0.88590669,en,6.60000000,,-1,,,,,,
Manitoba,Manitoba,GPE,0.04101562,0.10937500,en,6.40000000,,-1,,,,,,
Arctic,Arctic,LOC,0.03954802,0.69821092,en,5.90000000,,-1,,,,,,
Midwest,Midwest,LOC,-0.18033395,0.60892084,en,5.60000000,,-1,,,,,,
Canada,Canada,GPE,-0.30390212,0.83921958,en,5.60000000,,-1,,,,,,
Quebec,Quebec,GPE,0.11479798,0.58346320,en,5.50000000,,-1,,,,,,
Wisconsin,Wisconsin,GPE,0.02380952,0.27678571,en,4.20000000,,-1,,,,,,
Florida,Florida,GPE,-0.12511871,1.13580247,en,3.90000000,,-1,,,,,,
Scotland,Scotland,GPE,0.14864865,0.27927928,en,3.70000000,,-1,,,,,,
New Jersey,New Jersey,GPE,0.05697174,0.47744335,en,3.70000000,,-1,,,,,,
Finland,Finland,GPE,0.28069498,0.36344916,en,3.70000000,,-1,,,,,,
New York City,New York City,GPE,0.06654636,0.77381221,en,3.10000000,,-1,,,,,,
Japan,Japan,GPE,0.02981481,0.55351852,en,3.00000000,,-1,,,,,,
Indiana,Indiana,GPE,-0.13472222,0.28750000,en,3.00000000,,-1,,,,,,
Ottawa,Ottawa,GPE,0.13505747,1.23850575,en,2.90000000,,-1,,,,,,
East Tennessee,East Tennessee,GPE,0.07142857,0.71428571,en,2.80000000,,-1,,,,,,
Montreal,Montreal,GPE,-0.15714286,0.88571429,en,2.80000000,,-1,,,,,,
Türkiye,Türkiye,GPE,0.02142857,0.25714286,en,2.80000000,,-1,,,,,,
South,South,LOC,0.25000000,0.88095238,en,2.80000000,,-1,,,,,,
Kentucky,Kentucky,GPE,0.25000000,0.39682540,en,2.80000000,,-1,,,,,,
Helena,Helena,GPE,0.04761905,0.25000000,en,2.80000000,,-1,,,,,,
Mount Fuji,Mount Fuji,LOC,0.02380952,0.24404762,en,2.80000000,,-1,,,,,,
arctic,arctic,LOC,-0.15873016,0.70039683,en,2.80000000,,-1,,,,,,
Uzbekistan,Uzbekistan,GPE,0.16483516,0.32967033,en,2.60000000,,-1,,,,,,
UK,UK,GPE,0.38060606,1.24424242,en,2.50000000,,-1,,,,,,
Russia,Russia,GPE,0.14302721,0.42891156,en,2.10000000,,-1,,,,,,
Alabama,Alabama,GPE,-0.18253968,1.16402116,en,2.10000000,,-1,,,,,,
Milwaukee,Milwaukee,GPE,-0.07500000,1.25833333,en,2.00000000,,-1,,,,,,
Tibet,Tibet,GPE,-0.00416667,0.36875000,en,2.00000000,,-1,,,,,,
Kansas,Kansas,GPE,0.00000000,0.25000000,en,2.00000000,,-1,,,,,,
Nebraska,Nebraska,GPE,0.00000000,0.25000000,en,2.00000000,,-1,,,,,,
New York,New York,GPE,0.22358225,1.33852814,en,2.00000000,,-1,,,,,,
Georgia,Georgia,GPE,-0.09583333,0.61111111,en,2.00000000,,-1,,,,,,
Minnesota,Minnesota,GPE,-0.02500000,0.16250000,en,2.00000000,,-1,,,,,,
Northeast,Northeast,LOC,0.04743677,0.35611757,en,1.90000000,,-1,,,,,,
Broome County,Broome County,GPE,0.08771930,0.23976608,en,1.90000000,,-1,,,,,,
TOKYO,TOKYO,GPE,0.03508772,0.25730994,en,1.90000000,,-1,,,,,,
Vancouver Island,Vancouver Island,GPE,0.04385965,0.19736842,en,1.90000000,,-1,,,,,,
Northeast California,Northeast California,LOC,-0.04385965,0.58771930,en,1.90000000,,-1,,,,,,
Hobart,Hobart,LOC,0.84210526,1.05263158,en,1.90000000,,-1,,,,,,
the Northern Plains,the Northern Plains,LOC,0.50655209,0.81611171,en,1.90000000,,-1,,,,,,
Lake Michigan,Lake Michigan,LOC,0.00000000,0.00000000,en,1.90000000,,-1,,,,,,
Lake Superior,Lake Superior,LOC,0.57894737,0.73026316,en,1.90000000,,-1,,,,,,
northern Manitoba,northern Manitoba,LOC,-0.01973684,0.47368421,en,1.90000000,,-1,,,,,,
the Great Lakes,the Great Lakes,LOC,1.02658432,1.58668994,en,1.90000000,,-1,,,,,,
Great Lakes,Great Lakes,LOC,1.10526316,1.64473684,en,1.90000000,,-1,,,,,,
Inverness,Inverness,GPE,0.33333333,0.44444444,en,1.90000000,,-1,,,,,,
Mount Charleston,Mount Charleston,GPE,0.17543860,0.26900585,en,1.90000000,,-1,,,,,,
Nepal,Nepal,GPE,0.64011438,2.07124183,en,1.70000000,,-1,,,,,,
US,US,GPE,-0.16380719,2.85130719,en,1.70000000,,-1,,,,,,
Earth,Earth,LOC,-0.05148148,1.27925926,en,1.50000000,,-1,,,,,,
India,India,GPE,0.38095238,1.23809524,en,1.40000000,,-1,,,,,,
Dublin,Dublin,GPE,0.33928571,1.10714286,en,1.40000000,,-1,,,,,,
Cotswolds,Cotswolds,GPE,0.25961538,0.67307692,en,1.30000000,,-1,,,,,,
Asia,Asia,LOC,0.21212121,0.79895105,en,1.30000000,,-1,,,,,,
China,China,GPE,0.46153846,1.28525641,en,1.30000000,,-1,,,,,,
TORONTO,TORONTO,GPE,0.26510989,0.40109890,en,1.30000000,,-1,,,,,,
Norway,Norway,GPE,0.53205128,0.96153846,en,1.30000000,,-1,,,,,,
Southern California,Southern California,LOC,0.02019231,1.38012821,en,1.30000000,,-1,,,,,,
Washington,Washington,GPE,0.46676657,1.01620602,en,1.30000000,,-1,,,,,,
Portugal,Portugal,GPE,0.25641026,0.25641026,en,1.30000000,,-1,,,,,,
