,phrase,label,sentiment,subjectivity,language,count
Storm Goretti,Storm Goretti,PERSON,-0.040428743961352674,0.3668391994478953,en,27.599999999999987
Met Éireann,Met Éireann,PERSON,-0.06463310994560993,0.5892883158508158,en,10.400000000000002
Ueli Kestenholz,Ueli Kestenholz,PERSON,-0.09090909090909091,0.03636363636363637,en,5.5
Mikaela Shiffrin,Mikaela Shiffrin,PERSON,0.5070129870129869,0.5626839826839827,en,5.5
Scott Frost,Scott Frost,PERSON,0.7003968253968254,1.2642857142857145,en,4.2
Winter Storm Chan,Winter Storm Chan,PERSON,-0.06590909090909092,0.41363636363636364,en,4.0
Brandy Campbell,Brandy Campbell,PERSON,0.07567567567567568,0.24864864864864863,en,3.6999999999999997
HBO Max,HBO Max,PERSON,0.0,0.4411764705882352,en,3.4000000000000004
Ian Lee,Ian Lee,PERSON,0.40584415584415584,0.6623376623376623,en,2.8
Miles Morales,Miles Morales,PERSON,0.02857142857142857,0.32142857142857145,en,2.8
Simon King,Simon King,PERSON,0.04166666666666666,0.39880952380952384,en,2.8
Lee Canyon,Lee Canyon,PERSON,0.0744047619047619,0.18055555555555555,en,2.8
Omar Abdullah,Omar Abdullah,PERSON,0.46428571428571425,0.4107142857142858,en,2.8
Flin Flon,Flin Flon,PERSON,-0.08452380952380953,0.2273809523809524,en,2.8
Mont Farlagne,Mont Farlagne,PERSON,0.310515873015873,0.5540674603174603,en,2.8
Milind Soman,Milind Soman,PERSON,0.3035714285714286,0.8214285714285714,en,2.8
Nancy Wu,Nancy Wu,PERSON,0.3760822510822511,0.5432900432900434,en,2.8
Chloe Kim,Chloe Kim,PERSON,0.028571428571428574,0.09047619047619047,en,2.8
Eric Adams,Eric Adams,PERSON,0.4592171717171717,0.590909090909091,en,2.4
Alex Bierens de Haan,Alex Bierens de Haan,PERSON,0.0,0.0,en,2.4
Christopher Briney,Christopher Briney,PERSON,0.08472222222222221,0.3203703703703704,en,2.4
Michelle Randolph,Michelle Randolph,PERSON,0.08472222222222221,0.3203703703703704,en,2.4
